#1_id	#2_content	#3_label
TRAIN_15711	الطرحة في 61 النفر 10 جنيه	yemen
TRAIN_2257	كله ولا يطالبوا بارض فدك الله ياخدهم الله يعجل الفرج لصاحب الزمان	lebanon
TRAIN_5618	' لما اطلقتو تلك التغريدة وقتها كان في واحد سعودي قال : \ ' مو لأنك اسطورة نصدقك في كل شي \ ' لكنك مجبر ان تصدقه الآن '	algeria
TRAIN_7284	بجكولى بى خير	iraq
TRAIN_15841	يعم القمر براحه علينا	egypt
TRAIN_19334	لا بس هتعدي ان شاء الله	egypt
TRAIN_7965	USER أيه فيه اختبار للمرحلة الثالثة انتي ؤش تخصصك	ksa
TRAIN_18189	صالح جمعه يبدأ ماتش زاناكو وكدا نقدر نحكم ع مستواه ف ماتش تقيل ومهم . . #أفريقيا_يا_أهلى	egypt
TRAIN_17530	لاحسن اكون مش انا ولا حاجه	egypt
TRAIN_16557	جديات الكلام هظا ولا اشاعه	libya
TRAIN_12146	الحمد لله . . منوره ومرحبا بيك	algeria
TRAIN_49	USER يا ريت والله	oman
TRAIN_5352	كتيير مش شوي	palestine
TRAIN_14230	ابوتريكه عمال يرد ع ناس كلها معدا انتي يا مااي علشاان نكره . . بس ياا علي URL	egypt
TRAIN_6789	محرز ياقليع قلبي URL …	algeria
TRAIN_7402	حابه يومي والسبب هي ) : .	iraq
TRAIN_727	الكل عبيبكي ويلطم على #حمص ويقول #انباعت_حمص بس حدى فيكن سأل حالو مين باعا #خذلانكم . .	syria
TRAIN_4973	خلصت للأسف يا غالي	bahrain
TRAIN_18210	خلاص يا عم انا مصدقك . . بس المنطق يقول برضو انهم كانوا متجوزين ع الاقل ف ال preschool	egypt
TRAIN_13626	لكان هو صح راه صغير وفحل	algeria
TRAIN_15504	الواقعه والله بقرأها دائما	tunisia
TRAIN_70	اليوم الدكتوره الى ما دانيها ومدرستني من سنتين جات وسلمت على وتقولي I miss you URL	qatar
TRAIN_3243	تطلع تقاعد بدون تعين	iraq
TRAIN_13796	افهم من كدا اني لازم امشي شكرن يا ساحبتي	lebanon
TRAIN_18096	USER ماوجعني كان يلي بيجوز نظام غش واختفاء	libya
TRAIN_15074	يوسفنا جدا عندما ارى اخ يتجسس على اخاه بس ماذا نقول على هذه الاشبال التي نشات في هذا الزمن سنبقى نبتسم امام هاؤلاء الى اين سيصلون لا يسخر قوما من قوم عسى ان يكونوا خيرا منهم URL	oman
TRAIN_16730	لا هم موجدين بس الظاهر انت اعمى هه	syria
TRAIN_12055	وانت بخير حبيبي	ksa
TRAIN_8816	رحله تبع الكلية وملهى ليلى طب ازاى يا عماد	egypt
TRAIN_13353	ع بلي نوعا ما احلى	iraq
TRAIN_2879	اخذت قلبي وروحي وشلك بعيني ، ما تدري انك عيوني اللي اشوف بها	oman
